text;label
The report combines input from multiple United Nations agencies, national meteorological and hydrological services and scientific experts;environment
It highlights impacts on food security and population displacement, harming crucial ecosystems and undermining progress towards the Sustainable Development Goals;environment
We must act now – with ambition and solidarity – to safeguard our future and save humanity said Mr Guterres in a video statement;environment
There is mounting scientific evidence that some of these bear the footprint of human-induced climate change;environment
At the current rate of increase in greenhouse gas concentrations, we will see a temperature increase by the end of this century far in excess of the Paris Agreement targets of;environment
The provisional State of the Climate 2021 report is released at the start of the UN Climate Change negotiations, COP26, in Glasgow;environment
It provides a snapshot of climate indicators such as greenhouse gas concentrations, temperatures, extreme weather, sea level, ocean warming and ocean acidification, glacier retreat and ice melt, as well as socio-economic impacts;environment
It is one of the flagship scientific reports which will inform negotiations and which will be showcased at the Science pavilion hosted by WMO, the Intergovernmental Panel on Climate Change and the UK Met Office;environment
During COP26, WMO will launch the Water and Climate Coalition to coordinate water and climate action, and the Systematic Observations Financing Facility to improve weather and climate observations and forecasts which are vital to climate change adaptation;environment
Key messages  Greenhouse Gases  In 2020, greenhouse gas concentrations reached new highs;environment
Globally averaged mole fraction Globally averaged mole fraction (measure of concentration), from 1984 to 2020, of CO2 in parts per million (left), CH4 in parts per billion (centre) and N2O in parts per billion (right);environment
All data sets agree that ocean warming rates show a particularly strong increase in the past two decades and it is expected that the ocean will continue to warm in the future;environment
Much of the ocean experienced at least one ‘strong’ Marine Heatwave at some point in 2021 – with the exception of the eastern equatorial Pacific Ocean (due to La Niña) and much of the Southern Ocean;environment
The Laptev and Beaufort Sea in the Arctic experienced “severe” and “extreme” marine heatwaves from January to April 2021;environment
The ocean absorbs around 23% of the annual emissions of anthropogenic CO2 to the atmosphere and so is becoming more acidic;environment
Open ocean surface pH has declined globally over the last 40 years and is now the lowest it has been for at least 26,000 years;environment
Current rates of pH change are unprecedented since at least that time;environment
As the pH of the ocean decreases, its capacity to absorb CO2 from the atmosphere also declines;environment
1960-2020 ensemble mean time series  1960-2020 ensemble mean time series and ensemble standard deviation of global ocean heat content anomalies relative to the 2005-2017 climatology;environment
Sea level  Global mean sea level changes primarily result from ocean warming via thermal expansion of sea water and land ice melt;environment
It marks the third time in the last nine years that the Summit has experienced melting conditions;environment
Ice core records indicate that only one such melt event occurred in the 20th century;environment
Global glacier mass balance Global glacier mass balance, 1950-2020, from a subset of 40 global reference glaciers;environment
which is the depth of water that would be obtained from melting the lost ice and distributing it evenly across the glaciers;environment
The drought led to significant agricultural losses, exacerbated by a cold outbreak at the end of July, damaging many of Brazil’s coffee-growing regions;environment
Low river levels also reduced hydroelectricity production and disrupted river transport;environment
indicates more precipitation than the long-term means while brown indicates less than usual rainfall totals;environment
Attribution  Preliminary “rapid attribution” studies have been carried out for the heatwave in northwest America in June and July and of floods in western Europe in July;environment
The study of the heatwave in the Pacific Northwest found that the heatwave is still rare or very rare in today’s climate, but would have been virtually impossible without climate change;environment
For the western Europe flooding, it was found that the heavy rainfall had been made more likely by climate change;environment
The IPCC Sixth Assessment Report (AR6) concluded that the frequency of heatwaves in North America and the Mediterranean has increased;environment
A human contribution to these increases was found with medium confidence in North America and high confidence in the Mediterranean region;environment
The IPCC reported that heavy precipitation has increased in east Asia, but there is low confidence of human influence;environment
There was high confidence of a human influence on heavy precipitation in northern Europe, but low confidence in west and central Europe;environment
Socio-economic and environmental impacts  In the last ten years, conflict, extreme weather events and economic shocks have increased in frequency and intensity;environment
The compounded effects of these perils, further exacerbated by the COVID-19 pandemic, have led to a rise in hunger and, consequently, undermined decades of progress towards improving food security  Following a peak in undernourishment in 2020 (768 million people), projections indicated a decline in global hunger to around 710 million in 2021 (9%);environment
However, as of October 2021, the numbers in many countries were already higher than in 2020  This striking increase (19%) was mostly felt among groups already suffering from food crises or worse (IPC/CH Phase 3 or above), rising from 135 million people in 2020 to 161 million by September 2021  Another dire consequence of these shocks was the growing number of people facing starvation and a total collapse of livelihoods (IPC/CH Phase 5), mostly in Ethiopia, South Sudan, Yemen, and Madagascar (584 000 people);environment
Extreme weather during the 2020/2021 La Niña altered rainfall seasons contributing to disruptions to livelihoods and agricultural campaigns across the world;environment
Extreme weather events during the 2021 rainfall season have compounded existing shocks;environment
Consecutive droughts across large parts of Africa, Asia, and Latin America have coincided with severe storms, cyclones and hurricanes, significantly affecting livelihoods and the ability to recover from recurrent weather shocks;environment
Extreme weather events and conditions, often exacerbated by climate change, have had major and diverse impacts on population displacement and on the vulnerability of people already displaced throughout the year;environment
droughts, flooding and other extreme weather events are hitting those least equipped to recover and adapt  Ecosystems – including terrestrial, freshwater, coastal and marine ecosystems – and the services they provide, are affected by the changing climate;environment
In addition, ecosystems are degrading at an unprecedented rate, which is anticipated to accelerate in the coming decades;environment
The degradation of ecosystems is limiting their ability to support human well-being and harming their adaptive capacity to build resilience;environment
At the same time, the company is committed to minimizing its environmental footprint.;environment
no longer has any manufacturing plants.;environment
Our environmental impact is mainly derived from materials used and energy consumption over the life cycle of a product.;environment
It is therefore imperative that we consider environmental sustainability in the development and launch phase of products, where Ascom can impact on environmental friendliness of goods produced.;environment
In 2020, we successfully piloted a change in transport for one of our cold chain products, switching from air to sea freight.;environment
This measure alone reduced CO2 emissions by more than 100 tons in 2020.;environment
Following this successful pilot project, we intend to introduce further alternative transportation means to reduce CO2 emissions even more.;environment
environmental standards;environment
ensure human rights are respected;human_rights
We are committed to supporting and protecting human rights and taking necessary steps to prevent any form of human rights violation in our organization and along our supply chain.;human_rights
We expect our employees and suppliers to comply with the relevant provisions outlined in relevant documents, such as the ‘UK Modern Slavery Statement’ or the Supplier Code of Conduct.;human_rights
We do not tolerate bribery or corruption of any kind.;corruption
As our products are sold in more than 100 countries, we are subject to a variety of anti-corruption laws and industry codes, prohibiting bribes or kickbacks.;corruption
Not abiding by these rules would pose serious risks of damage to the company and the societies in which we operate.;corruption
All our employees are obliged to adhere to our Anti-Bribery and Anti-Corruption Directive, ensuring our business conduct is in accordance with the highest standards.;corruption
Our staff undergo regular training on our anti-bribery and anti-corruption provisions.;corruption
In 2020, we revised our individual country guidelines on anti-bribery and anti-corruption.;corruption
We automated some of the reoccurring activities and introduced new cross-country Navigation Rules to provide greater clarity on responsibilities and processes where several countries are involved.;corruption
We also integrated the compliance trainings into our web-based Learning Management System to increase efficiency.;corruption
we have also committed to conducting a firmwide employee survey on an annual basis in order to ensure our employees' voices are heard and to foster increased employee engagement.;employee_concerns
Ascom responded quickly in communicating with employees, as its employees’ health safety is the Company’s most important asset.;social_concerns
A crisis group with a clear distribution of responsibilities was formed, regular calls with key departments were initiated and an internal CEO crisis communication to all employees was established.;social_concerns
An internal e-mail channel and a dedicated intranet page provides an Ascom Covid-19 update on a regular basis, which includes information about basic behavioral instructions (e.g. health  &  safety measures, working from home guidance), announcement of health measures on working sites (e.g. deployment of face masks on Ascom sites).;social_concerns
It also draws attention to local health authority regulations;social_concerns
Human rights;human_rights
In 2017, we published Human Rights Commitment, 14 which is the basis of our Human Rights program.;human_rights
Our Commitment is the result of internal cross-functional consultations and external stakeholder dialog, and it reflects our commitment to the United Nations Guiding Principles on Business and Human Rights.;human_rights
In addition, a range of policies and programs addresses our value chain or specific groups, such as workers and children.;human_rights
Amongst those, our Responsible Sourcing Principles (RSP) 15 and Implementation Guidance apply to all suppliers doing business with and establish our expectations in the areas of human rights and labor rights, the environment, and business integrity.;human_rights
Our Good Agricultural Practices (GAP) program 16 applies to farmers contracting with or our suppliers and includes Agricultural Labor Practices (ALP) covering the topics of child labor, fair treatment, income and work hours, forced labor, safe work environment, freedom of association, and compliance with the law.;human_rights
Affiliates and suppliers contracting farmers are committed to implementing the ALP program and the ALP Code 17 and to working with us and our farmers on continuously improving living and working conditions on farms.;human_rights
Human Rights Roadmap to implement our commitment;human_rights
In 2017, we developed our Human Rights Roadmap to identify the practical steps required to integrate our Human Rights Commitment throughout our global operations and value chain.;human_rights
As part of this exercise, each functional area has developed a human rights action plan focused on the most salient risks to rights-holders.;human_rights
Embedding a culture of respect;human_rights
The foundation of our Human Rights program is the commitment of PMI’s senior management to instilling a culture of respect for human rights throughout our operations.;human_rights
Our employees and business partners need to have a practical understanding of human rights risks and of our expectation to have Commitment embedded throughout our operations and value chain.;human_rights
We aim to achieve this through ongoing training on business and human rights.;human_rights
Last year, we developed a Human Rights e-learning module, available to all our employees.;human_rights
In addition, we are developing tailored functional training sessions to ensure a more in-depth understanding of what human rights mean for individual functions, as well as concrete steps and actions expected from them.;human_rights
Human rights due diligence;human_rights
Human rights due diligence is the cornerstone of our human rights program.;human_rights
Over the last several years, we have developed due diligence processes for labor rights in our supply chain, risks throughout our operations, and integrity risks across our value chain.;human_rights
Our ambition is to scale up these processes in the years to come and develop new ones as needed to integrate due diligence processes covering all human rights risks across our entire value chain.;human_rights
This is a vast undertaking, and we will build on the existing foundations already put in place across our organization.;human_rights
As part of the ALP program, we disclose detailed reports of country-specific external assessments conducted by an independent third party (Control Union Certifications) trained and overseen by Verité, a not-for-profit organization specializing in labor and human rights issues, with action plans to address findings.;human_rights
We also intend to conduct a pilot human rights impact assessment (HRIA) in collaboration with experts and in consultation with relevant stakeholders.;human_rights
Through our , we expect to gain a better understanding of the actual and potential human rights impacts at site level.;human_rights
Human rights grievance mechanisms Providing access to effective grievance mechanisms in line with the Guiding Principles is a core element of our approach.;human_rights
We believe that everyone in our supply chain should have the appropriate means to voice concerns and seek help when needed.;human_rights
That’s why we strongly support a culture of speaking up and ask suppliers, in our RSP, to provide workers with easily accessible means to raise concerns and to protect them from retaliation.;human_rights
Properly implemented, such mechanisms are one of the most efficient methods for ongoing due diligence and effective remediation.;human_rights
As we move forward, we will continue looking into ways to provide access to grievance mechanisms throughout our operations and supply chain.;human_rights
Our Commitment to respect human rights;human_rights
We are committed to business practices that respect internationally recognized human rights in line with the United Nations Guiding Principles on Business and Human Rights.;human_rights
We base our Commitment on the International Bill of Human Rights and the International Labor Organization’s 1998 Declaration on Fundamental Principles and Rights at Work.;human_rights
We will talk with and listen to people whose human rights we might affect.;human_rights
We will look closely at our practices, continuously strive to improve them, and operate systems to implement this commitment from supplier to consumer.;human_rights
Given the imbalance in demand and supply of labor in that sector, employment costs are low.;human_rights
The competition among migrant workers for jobs increases their vulnerability to labor rights abuses.;human_rights
Against this backdrop and considering the company’s sourcing of from this part of, began working with the International Organization for Migration (IOM) in 2015.;human_rights
Since then, has been supporting a project entitled which focuses on gaining insights into labor rights abuses and the various challenges facing migrant workers in agriculture in.;human_rights
A preliminary assessment was conducted in 2016 to establish the most pressing needs of migrants living in informal settlements in the regions of.;human_rights
"It identified shortcomings in four priority areas: Decent accommodation and housing; Vocational training and job placement opportunities; Legal counseling and awareness of existing social services; and language classes.";human_rights
As a result of the findings, developed two sets of interventions to address the exploitation of migrant workers and to protect their rights under the umbrella of the program.;human_rights
"Firstly, two teams of dedicated staff were established on the ground and assisted migrants living in informal settlements by: Providing social orientation and legal counseling to vulnerable migrant workers living within informal settlements; Identifying the most vulnerable cases (including victims of trafficking or exploitation, unaccompanied children, etc.) and referring them to relevant authorities for necessary assistance; Gaining the trust of the local migrant communities and monitoring their emerging needs; and Providing cultural and linguistic support.";human_rights
Secondly, a comprehensive vocational training program was developed in collaboration with, its partners and suppliers as well as a number of local NGOs and institutions to support the integration of 19 migrants.;human_rights
Over a six-month period, these individuals participated in a remunerated training program, which included accommodation and transport to and from the workplace, counseling, language courses, and workplace safety and security training.;human_rights
contributing to improving human rights, labor rights;human_rights
Tackling illicit trade and related crimes;corruption
According to the United Nations Office on Drugs and Crime, transnational organized crime is an annual business of USD 870 billion.;corruption
It is not just luxury goods that are counterfeited or smuggled and sold illegally.;corruption
are among the most illegally trafficked goods in the world.;corruption
Criminals are increasingly attracted to the high profits and minimal risks associated with illegally trafficking products.;corruption
Fighting illicit trade in tobacco products, including preventing the diversion of our own products, is a key component of our sustainability program.;corruption
It is within our best interest, that of our customers and shareholders, but also of governments to safeguard the legitimate supply and purchase of tobacco products.;corruption
Yes, the problem of illegal trade impacts our business, but the effects stretch far beyond our bottom line.;corruption
Fighting illicit trade links directly to combating corruption principles that organizations involved in illicit trade ignore or violate.;corruption
Awareness continued to increase in 2017 that illegal trade is not a victimless crime and that it links to the funding of terrorism and other serious crimes.;corruption
This was reflected in many forums including some in which participated, such as the Commission hearing held in the an event held by the Business Council for International Understanding in and the Financial Times round-table discussion on Combating Illicit Trade in the;corruption
For us, this challenge means continuing to invest time, effort, and resources in maintaining the integrity of our supply chain, protecting our consumers, and working with governments and other partners to tackle the systemic causes of illicit trade.;corruption
"Our efforts focus on three main objectives: Effective measures to secure our supply chain and prevent the illegal diversion of our products; Support for regulation and public‑private partnerships to stop illicit trade; and Investment in research, training, and education to raise awareness and tackle the issue.";corruption
Commercial compliance is founded on the application of Code.;corruption
Anti-money laundering;corruption
Know Your Counterparty due diligence (KYC);corruption
Anti-trust and competition law;corruption
Sanctions and trade restrictions;corruption
Anti-bribery and corruption;corruption
Gifts, hospitality and entertainment;corruption
Political contributions and charitable donations;corruption
Reporting violations and grievance procedures;corruption
We provide detailed guidance on how to adhere to relevant competition law principles and how to prevent the inappropriate exchange of commercially sensitive information.;corruption
Our KYC and screening procedures are aimed at identifying prospective counterparties that might pose any risk to our business.;corruption
We have implemented a range of measures to raise awareness internally, including mandatory online training, to give employees a detailed understanding of anti-money laundering and associated control processes.;corruption
continues to apply the principles set by the Joint Money Laundering Steering Group, which is widely seen as global industry best practice.;corruption
Our vision is to offer our employees meaningful work with a clear purpose in an attractive, flexible and inclusive work environment where everyone can contribute.;social_concerns
Our organisation is constantly looking for new ways to improve the wellbeing of society and prepare for the changing needs of the future, drawing on the know-how and experience of a diverse, multigenerational group of employees.;social_concerns
We look to collaborate in the spirit of “Let’s be smarter together”, convinced that only by doing this we can maximise our full potential.;social_concerns
We are passionate about building an environment of trust, respect, collaboration and responsibility, in which how we achieve results is every bit as important as what we achieve.;social_concerns
Tax policies;social_concerns
Profits before taxes;social_concerns
Income taxes paid;social_concerns
Public subsidies;social_concerns
Tax incentives and reliefs (statutory and discretionary);social_concerns
Development of number of employees;employee_concerns
Development of number of outsourced workers;employee_concerns
Gender diversity by job category;employee_concerns
Living wage;employee_concerns
CEO vs median salary;employee_concerns
% of employees who are members of trade unions;employee_concerns
% of employees covered by collective bargaining agreement;employee_concerns
Occupational health and safety;employee_concerns
Information and consultation of workers;employee_concerns
Training provided to workers;employee_concerns
Employees' satisfaction;employee_concerns
We aim to be known in the market for both our technical expertise and our leadership capabilities.;employee_concerns
Our employees inspire and engage each other across all levels through honest, constructive and timely dialogue and feedback.;employee_concerns
We invest in the career development of our people, which we see as a shared responsibility, with leaders investing their time and resources and employees taking ownership to drive their development.;employee_concerns
Empower and collaborate;employee_concerns
We empower and enable our people to make decisions and drive performance, while at the same time ensuring that we maintain an appropriate risk culture.;employee_concerns
We encourage all employees to work together and collaborate across organisational and geographical boundaries for the wider benefit of.;employee_concerns
We want our employees to operate with a truly commercial mind-set and a clear sense of accountability.;employee_concerns
